date,day_label,tmax_min,tmax_p10,tmax_p25,tmax_p50,tmax_p75,tmax_p90,tmax_max,tmin_min,tmin_p10,tmin_p25,tmin_p50,tmin_p75,tmin_p90,tmin_max,pr_p10,pr_p25,pr_p50,pr_p75,pr_p90,pr_max
2026-08-15,Sat 15 Aug,28.87,29.65,30.01,30.39,30.74,31.09,31.35,18.52,18.98,19.2,19.37,19.52,19.61,19.93,0.0,0.0,0.0,0.0,0.0,0.01
2026-08-16,Sun 16 Aug,26.43,26.99,27.3,27.66,28.04,28.57,28.77,17.62,17.7,17.96,18.12,18.31,18.47,18.93,0.0,0.0,0.0,0.0,0.0,0.02
2026-08-17,Mon 17 Aug,24.79,26.09,26.53,27.64,28.44,29.48,30.54,17.5,17.99,18.99,20.42,21.12,21.83,22.91,0.0,0.02,0.09,0.35,0.95,1.77
2026-08-18,Tue 18 Aug,26.0,26.52,27.23,28.15,28.89,29.97,31.79,17.13,17.71,18.08,18.85,19.59,21.33,21.82,0.0,0.0,0.0,0.0,0.0,0.64
2026-08-19,Wed 19 Aug,23.65,24.49,25.36,26.16,27.45,28.25,31.59,16.08,17.49,17.97,18.93,19.46,19.73,20.39,0.0,0.05,0.34,1.36,3.01,8.07
2026-08-20,Thu 20 Aug,23.78,25.49,26.49,27.19,28.1,29.24,30.96,16.11,17.02,17.48,18.49,19.12,19.49,19.74,0.0,0.02,0.29,1.46,2.26,3.97
2026-08-21,Fri 21 Aug,24.87,25.67,26.15,27.9,28.81,29.44,31.09,14.48,14.98,15.53,16.71,17.48,18.16,18.58,0.0,0.0,0.0,0.02,0.15,2.3
2026-08-22,Sat 22 Aug,25.73,26.58,27.83,28.77,29.46,30.17,32.89,14.34,14.88,15.35,15.98,17.19,18.0,18.83,0.0,0.0,0.0,0.0,0.09,2.18
2026-08-23,Sun 23 Aug,19.22,25.11,26.13,27.7,29.5,30.66,33.05,14.32,14.87,15.29,16.09,17.55,18.56,21.84,0.0,0.0,0.0,0.01,0.53,4.64
2026-08-24,Mon 24 Aug,20.66,24.77,26.72,27.96,29.39,30.74,34.56,13.49,13.93,14.74,15.9,17.56,19.22,22.6,0.0,0.0,0.0,0.0,0.29,11.43
2026-08-25,Tue 25 Aug,23.48,25.72,26.78,28.59,30.22,31.69,40.71,13.17,14.09,15.1,16.62,17.85,19.7,23.03,0.0,0.0,0.0,0.04,0.68,3.81
2026-08-26,Wed 26 Aug,23.51,24.4,26.38,28.59,30.57,31.9,44.49,12.46,14.88,15.87,17.16,18.42,19.67,27.45,0.0,0.0,0.0,0.03,2.11,6.68
2026-08-27,Thu 27 Aug,20.69,25.5,27.94,29.91,31.16,33.13,36.17,13.86,15.5,16.12,17.48,18.8,19.87,23.42,0.0,0.0,0.0,0.0,0.34,10.86
2026-08-28,Fri 28 Aug,25.19,28.0,29.67,30.69,32.33,33.56,36.05,13.84,16.0,16.59,17.98,19.04,20.52,21.89,0.0,0.0,0.0,0.0,0.02,2.84
2026-08-29,Sat 29 Aug,26.69,27.97,29.4,31.19,32.25,33.68,36.58,13.9,15.8,16.72,17.66,20.02,20.87,22.18,0.0,0.0,0.0,0.0,0.0,0.14
