date,day_label,tmax_min,tmax_p10,tmax_p25,tmax_p50,tmax_p75,tmax_p90,tmax_max,tmin_min,tmin_p10,tmin_p25,tmin_p50,tmin_p75,tmin_p90,tmin_max,pr_p10,pr_p25,pr_p50,pr_p75,pr_p90,pr_max
2026-08-16,Sun 16 Aug,27.98,30.17,30.64,30.98,31.46,31.67,31.96,16.44,16.77,17.22,17.86,18.45,19.37,21.38,0.03,0.15,0.46,1.03,2.05,8.88
2026-08-17,Mon 17 Aug,31.25,32.26,32.64,33.29,33.53,33.93,34.13,17.13,17.6,17.91,18.49,18.73,19.03,19.52,0.0,0.01,0.02,0.05,0.11,0.54
2026-08-18,Tue 18 Aug,33.4,34.32,34.6,34.96,35.34,35.61,36.34,17.37,18.14,18.42,18.8,19.07,19.5,20.03,0.0,0.0,0.0,0.0,0.02,1.56
2026-08-19,Wed 19 Aug,32.95,33.47,33.82,34.27,34.87,35.37,35.85,18.86,19.7,20.12,20.37,20.85,21.1,21.5,0.0,0.0,0.02,0.03,0.11,0.4
2026-08-20,Thu 20 Aug,23.81,26.66,29.08,30.1,31.08,31.53,32.71,12.42,16.2,17.07,17.49,17.88,18.36,19.66,0.02,0.05,0.13,0.4,1.26,7.25
2026-08-21,Fri 21 Aug,22.59,23.23,24.38,25.76,26.56,27.19,30.09,11.54,12.29,13.21,13.7,14.97,16.04,17.1,0.0,0.0,0.02,0.32,1.72,3.56
2026-08-22,Sat 22 Aug,21.36,23.15,25.23,27.1,29.49,30.43,31.05,11.12,12.09,12.8,13.71,14.92,15.82,17.5,0.0,0.0,0.0,0.0,0.05,7.1
2026-08-23,Sun 23 Aug,15.97,23.03,25.38,27.64,30.15,31.6,33.37,9.98,12.47,13.29,14.78,15.91,16.9,18.11,0.0,0.0,0.0,0.08,0.69,8.42
2026-08-24,Mon 24 Aug,20.74,22.16,25.36,28.14,30.08,31.4,32.33,8.93,10.76,12.83,14.64,16.13,16.93,18.24,0.0,0.0,0.0,0.69,2.07,7.93
2026-08-25,Tue 25 Aug,22.62,23.47,24.68,26.97,29.8,30.65,31.47,10.26,11.73,12.94,13.98,15.58,16.92,19.08,0.0,0.0,0.0,0.19,0.98,8.73
2026-08-26,Wed 26 Aug,18.51,23.33,24.72,26.55,28.21,29.44,31.3,11.31,12.25,12.9,14.45,15.51,16.08,17.56,0.0,0.0,0.0,0.44,4.19,10.86
2026-08-27,Thu 27 Aug,19.57,20.78,23.93,25.78,27.84,31.27,35.02,10.55,11.39,12.75,13.5,14.68,16.33,18.33,0.0,0.0,0.0,0.56,2.84,31.22
2026-08-28,Fri 28 Aug,16.69,21.37,24.0,26.88,30.26,32.33,35.62,7.22,10.78,11.8,14.18,15.91,17.46,20.92,0.0,0.0,0.0,0.02,1.14,4.27
2026-08-29,Sat 29 Aug,19.23,23.94,25.52,29.87,32.27,33.75,34.21,11.01,11.5,13.22,15.72,16.99,17.64,23.15,0.0,0.0,0.0,0.04,0.6,1.92
2026-08-30,Sun 30 Aug,20.5,24.39,27.87,29.87,31.98,34.47,35.87,8.86,11.66,13.37,15.61,16.77,18.1,19.59,0.0,0.0,0.0,0.0,0.1,1.01
