date,day_label,tmax_min,tmax_p10,tmax_p25,tmax_p50,tmax_p75,tmax_p90,tmax_max,tmin_min,tmin_p10,tmin_p25,tmin_p50,tmin_p75,tmin_p90,tmin_max,pr_p10,pr_p25,pr_p50,pr_p75,pr_p90,pr_max
2026-08-15,Sat 15 Aug,23.92,24.44,24.74,24.94,25.23,25.35,25.76,18.43,18.98,19.2,19.39,19.67,19.93,20.06,0.05,0.08,0.12,0.17,0.25,0.46
2026-08-16,Sun 16 Aug,25.32,26.63,27.07,27.7,28.12,28.37,29.94,16.58,16.9,17.19,17.44,17.67,17.89,18.08,0.0,0.0,0.0,0.01,0.02,0.13
2026-08-17,Mon 17 Aug,23.38,24.8,25.76,26.33,27.04,28.31,29.38,17.66,18.9,19.84,20.21,20.57,20.87,21.54,0.01,0.03,0.17,0.42,1.08,2.9
2026-08-18,Tue 18 Aug,24.59,25.54,25.94,26.45,27.34,28.85,29.93,17.55,18.14,18.53,18.97,19.24,19.47,20.09,0.0,0.0,0.0,0.02,0.05,1.07
2026-08-19,Wed 19 Aug,23.46,25.07,25.61,26.22,26.76,27.2,28.36,17.24,17.99,18.6,19.47,19.67,20.18,21.02,0.0,0.06,0.16,0.84,1.62,3.63
2026-08-20,Thu 20 Aug,22.51,23.9,24.35,24.97,25.36,25.79,26.56,17.19,17.67,17.88,18.56,19.52,19.94,20.46,0.0,0.02,0.16,1.09,1.96,6.56
2026-08-21,Fri 21 Aug,21.65,22.62,23.21,24.21,25.11,25.66,26.55,15.82,16.21,16.76,17.19,18.04,18.95,19.51,0.0,0.0,0.0,0.0,0.29,3.36
2026-08-22,Sat 22 Aug,22.4,23.13,23.98,24.35,25.3,26.16,27.87,14.34,15.11,15.78,16.43,17.07,17.7,18.57,0.0,0.0,0.0,0.02,0.17,2.29
2026-08-23,Sun 23 Aug,18.84,22.52,23.18,24.34,25.61,27.84,32.43,15.0,15.27,16.0,16.75,17.49,18.51,19.54,0.0,0.0,0.0,0.02,0.29,9.67
2026-08-24,Mon 24 Aug,19.83,21.94,23.05,24.73,26.34,27.47,29.53,14.37,14.86,15.31,16.23,17.4,18.81,21.45,0.0,0.0,0.0,0.02,0.19,7.31
2026-08-25,Tue 25 Aug,22.1,22.58,23.22,24.93,26.17,28.45,33.94,13.22,14.34,15.24,16.52,17.57,19.02,21.92,0.0,0.0,0.0,0.09,0.31,3.83
2026-08-26,Wed 26 Aug,21.84,22.93,23.31,24.84,25.88,27.52,45.15,13.9,14.65,15.57,16.54,18.63,19.65,25.4,0.0,0.0,0.0,0.23,1.71,8.24
2026-08-27,Thu 27 Aug,20.22,23.02,24.08,25.33,26.31,28.11,33.64,12.8,15.55,16.56,17.46,18.38,19.02,21.15,0.0,0.0,0.0,0.06,0.33,15.24
2026-08-28,Fri 28 Aug,22.26,23.32,24.33,25.85,27.13,30.28,31.73,13.87,15.37,15.98,17.02,18.56,19.35,20.8,0.0,0.0,0.0,0.03,0.06,0.55
2026-08-29,Sat 29 Aug,22.1,23.51,24.34,25.61,27.77,28.92,35.21,13.9,15.37,16.24,17.13,18.05,18.85,20.76,0.0,0.0,0.0,0.0,0.03,0.15
